RELATÓRIO DE SERVIDORES - 22/01/2026 21:21
====================================================================================================
NOME DO ARQUIVO                                         | SERVIDOR BASE
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos_[20-01-2..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos_[22-01-2..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacionais_+..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacionais_+..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos_[21-01-2..  | http://fontez.cc:80
CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos_[21-01-20..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos_[22-01-20..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos_[21-01-20..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos_[22-01-20..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos_[21-01-..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos_[22-01-..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos_[21-01-..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos_[22-01-..  | http://srv3.site:80
CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos_[21-01-202..  | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos_[22-01-202..  | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos_[21-01-202..  | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos_[22-01-202..  | http://cloudsalex.space:80
CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos_[21-01-2026..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos_[22-01-2026..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos_[20-01-2026..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos_[22-01-2026..  | http://38.147.106.155:80
CineFlix_-__SH-SERVER_-_Teste_C_Adultos_[21-01-2026_..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_C_Adultos_[22-01-2026_..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_S_Adultos_[21-01-2026_..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_S_Adultos_[22-01-2026_..  | http://sxhs.cgpsx.site:80
CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos_[20-01-20..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos_[22-01-20..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos_[20-01-20..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos_[22-01-20..  | http://xxx.pxlst.site:80
CineFlix_-__VOLTZ_-_Teste_C_Adultos_[20-01-2026_23h4..  | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_C_Adultos_[22-01-2026_20h4..  | http://nordesteip.shop:80
CineFlix_-__VOLTZ_-_Teste_S_Adultos_[21-01-2026_07h3..  | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_S_Adultos_[22-01-2026_20h4..  | http://nordesteip.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos_[21-01-2026_..  | http://x25.acxll.shop:80
