
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Disney] 911 S08E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E17  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E18  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S09E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] Me Conte Mentiras S03E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] Me Conte Mentiras S03E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] Me Conte Mentiras S03E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E17  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E18  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E19  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Kids] The Loud House S05E20  | (1ª vez: 20/01/2026 17:32)
