
============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 315258 itens.

============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (2711):
   + [Series | Amazon Prime Video] A Agência (2020) S01E32  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E33  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E34  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E35  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E36  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E37  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E38  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E39  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E40  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E41  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E42  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E43  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E44  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E45  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E46  | (1ª vez: 20/01/2026 17:32)
