
============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 338030 itens.

============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1089):
   + [▶️ Series | Família] Três Irmãs S01E82  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E83  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E84  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E85  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E86  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E87  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E88  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E89  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E90  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E91  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E92  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E93  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E94  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E95  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E96  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E97  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E98  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E99  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E100  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E101  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E102  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E103  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E104  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E105  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E106  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E107  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E108  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E109  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E110  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E111  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E112  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E113  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E114  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E115  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E116  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E117  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E118  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E119  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E120  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E121  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E122  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E123  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E124  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E125  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E126  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E127  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E128  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E129  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E130  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E131  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E132  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E133  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E134  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E135  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E136  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E137  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E138  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E139  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E140  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E141  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E142  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E143  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E144  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E145  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E146  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E147  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E148  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E149  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E150  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E151  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E152  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E153  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E154  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E155  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E156  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E157  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E158  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E159  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E160  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E161  | (1ª vez: 19/01/2026 18:27)
