
============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 271873 itens.

============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1514):
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E07  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E09  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E11  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E12  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E13  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E14  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E15  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E16  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E17  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E18  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E19  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E20  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E21  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E22  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E23  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E24  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E25  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E26  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cosmo - O Cosmonauta (2024) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cosmo - O Cosmonauta (2024) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cosmo - O Cosmonauta (2024) S01E03  | (1ª vez: 19/01/2026 18:27)
